,id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName,text_emotion
0,UgxcR9hH7z9XmhQdaoN4AaABAg,0.0,0,2019-08-10 04:53:27,scamander_sister 07,I got the (to quote Jude Law aka hot Dumbledore) hEebiE jeEbiES,UC2Tx4bzZAen1jlrGuXLX1ug,http://www.youtube.com/channel/UC2Tx4bzZAen1jlrGuXLX1ug,0,,,0.0
1,Ugw_YF1BpvKmN6ZTf6x4AaABAg,0.0,0,2019-08-05 04:09:33,Poltu Poltu,Nice movie,UCtCXr73MJ5qcuK8_EEeLYWQ,http://www.youtube.com/channel/UCtCXr73MJ5qcuK8_EEeLYWQ,0,,,0.4215
2,UgzU7x3cNRVxeYdhMBt4AaABAg,0.0,0,2019-07-26 22:04:00,secondintelligentWorld,"<a href=""https://www.youtube.com/watch?v=Vso5o11LuGU&amp;t=1m35s"">1:35</a> why is he talking like stephen hawking",UCUjPP6IzDo-iLKJlusoFauQ,http://www.youtube.com/channel/UCUjPP6IzDo-iLKJlusoFauQ,0,,,0.3612
3,UgzpQUASUnB9nE69jHh4AaABAg,0.0,0,2019-06-17 05:44:52,Dish Soap,I need a harry potter movie based on their children just like harry potter and the cursed child playscript book. screw Fantastic Beasts we need more harry potter movies,UCQLV0YBoqUA5dMrrGrtTs_g,http://www.youtube.com/channel/UCQLV0YBoqUA5dMrrGrtTs_g,0,,,0.6908
4,UgxVCU6gEBoZmAj9h-V4AaABAg,0.0,1,2019-06-04 16:01:40,kaiba,Occamies are choranaptyxic.,UCLSHFqJLM_xZnWD75UUHUFg,http://www.youtube.com/channel/UCLSHFqJLM_xZnWD75UUHUFg,0,,,0.0
5,Ugzfc1c080O8C6Jy4nR4AaABAg,0.0,0,2019-06-03 20:06:40,;-Rachel .Sp-',"Oh my gosh this is so better than Harry Potter, even Newt is better than Harry...",UC8yrWMMU4gy6eSk6PpGhjvA,http://www.youtube.com/channel/UC8yrWMMU4gy6eSk6PpGhjvA,0,,,0.8168
6,Ugyq5VbDjQWtJkYudjt4AaABAg,0.0,0,2019-03-04 11:25:17,srael aquino,Where do i can watch the full movie of this first episode,UCxUmg7JjR0wuJLTD48SXF0A,http://www.youtube.com/channel/UCxUmg7JjR0wuJLTD48SXF0A,0,,,0.0
7,UgwPxxQiV6fs6txUwMd4AaABAg,0.0,0,2019-02-11 18:12:35,Atul Padalkar,That Hedwig Theme Still Gives Goosebumps.<br />As If I Am Watching First Harry Potter Film,UCVOldRiR5QbvEzeu7Qwyqsg,http://www.youtube.com/channel/UCVOldRiR5QbvEzeu7Qwyqsg,0,,,0.0
8,UgwOVkDYiuyVgmJGFm14AaABAg,0.0,0,2019-02-05 20:44:09,HocusPocus Sally,I have read the hard back script and i loved it but havent seen the movie yet,UCY-xo2tbmNuHgLh1nsV20WQ,http://www.youtube.com/channel/UCY-xo2tbmNuHgLh1nsV20WQ,0,,,0.3071
9,UgzKFur6DRd-ZSUzhvR4AaABAg,1.0,0,2019-01-20 17:29:39,avcami -.,I WANT HARRY POTTER IN IT,UC25g6nhEZTSiDLlgix1WwgQ,http://www.youtube.com/channel/UC25g6nhEZTSiDLlgix1WwgQ,0,,,0.0772
10,UgzKFur6DRd-ZSUzhvR4AaABAg.8qKr2j-_rjm8rBhDeBwg9x,,0,2019-02-11 00:42:00,B R,aesthetic vibez He wasn't born during this time period.,UCG-gNitJqvq6hbF8yMy_p5Q,http://www.youtube.com/channel/UCG-gNitJqvq6hbF8yMy_p5Q,1,UgzKFur6DRd-ZSUzhvR4AaABAg,avcami -.,0.0
11,Ugxo26jrqo88FInbdft4AaABAg,0.0,1,2019-01-17 15:54:06,Red Handed,am i the only one who heard the harrypotter theme at the end,UC_YcqRU0dIFefT3DH0bfDPA,http://www.youtube.com/channel/UC_YcqRU0dIFefT3DH0bfDPA,0,,,0.0
12,UgxXmb2874IoaP0a-wl4AaABAg,0.0,1,2018-12-27 02:27:48,MrGabeanator,I got the bluray for Christmas,UCFy_J-_SNDTg17_YaiD9Aow,http://www.youtube.com/channel/UCFy_J-_SNDTg17_YaiD9Aow,0,,,0.0
13,UgwRoCSVkBd-QJbDamJ4AaABAg,0.0,0,2018-12-19 14:39:15,Lotus,why i never heard of this before wtf.,UCTEB2akm-QnpXeyPvc4_ywA,http://www.youtube.com/channel/UCTEB2akm-QnpXeyPvc4_ywA,0,,,-0.5859
14,UgyhPnljzcDnClzDUZ94AaABAg,2.0,0,2018-12-16 08:38:58,Vinith Prabu,Is this story telling what was happened before the Harry Potter series?,UCdYH2YVEpb49FyzlX58LFQQ,http://www.youtube.com/channel/UCdYH2YVEpb49FyzlX58LFQQ,0,,,0.0
15,UgyhPnljzcDnClzDUZ94AaABAg.8oumVExzrSz8rBhHHbKvcb,,1,2019-02-11 00:42:29,B R,VinithFreeTV Yes.,UCG-gNitJqvq6hbF8yMy_p5Q,http://www.youtube.com/channel/UCG-gNitJqvq6hbF8yMy_p5Q,1,UgyhPnljzcDnClzDUZ94AaABAg,Vinith Prabu,0.4019
16,UgyhPnljzcDnClzDUZ94AaABAg.8oumVExzrSz8ow_TjtxG1E,,0,2018-12-17 01:23:39,fly,wats Pharry Totter,UCIq6Qd13kgras6xlsWk7eUw,http://www.youtube.com/channel/UCIq6Qd13kgras6xlsWk7eUw,1,UgyhPnljzcDnClzDUZ94AaABAg,Vinith Prabu,0.0
17,UgxOvhLAB2Dq3vw2hAZ4AaABAg,0.0,0,2018-12-02 20:32:35,Sakher Rikudou,"The book might be good, but the movie is bad and boring.",UCdm1U-Nmr5heoariJebWR_w,http://www.youtube.com/channel/UCdm1U-Nmr5heoariJebWR_w,0,,,-0.775
18,UgwO602LhJUmpcb2mqB4AaABAg,0.0,0,2018-12-02 04:58:18,Cheryl L,does anyone know where i can find the music from this trailer?,UChGFCqWa0l_7Ext4hiHCYjQ,http://www.youtube.com/channel/UChGFCqWa0l_7Ext4hiHCYjQ,0,,,0.0
19,UgyUnGNK0z8EG_vvNQ14AaABAg,0.0,0,2018-11-17 04:42:20,Molly Brown,CRIMES OF GRINDELWALD CAME OUT TODAY!! AGH,UCgGoJ54o2b1WCEeYrxKmopg,http://www.youtube.com/channel/UCgGoJ54o2b1WCEeYrxKmopg,0,,,0.0
20,UgxdcbYjnu6--g-H2lx4AaABAg,0.0,0,2018-11-10 23:16:23,John von Shepard,terrible.,UCKDi77lDGvfiq8utTYU7hew,http://www.youtube.com/channel/UCKDi77lDGvfiq8utTYU7hew,0,,,-0.4767
21,Ugxy-abSt9VWljdOjzV4AaABAg,0.0,0,2018-10-07 08:04:02,praduman zala,"I wanna see this movie where do I see it,I couldn&#39;t find it",UC3l6SY4ailGprZswSwSNmDA,http://www.youtube.com/channel/UC3l6SY4ailGprZswSwSNmDA,0,,,0.0
22,UgytSbwYd5kzu_tRxe94AaABAg,0.0,1,2018-09-26 16:12:04,Luny & Milky,fantastic!,UCoLpIZKH2Nxq4SB6aSgZKyw,http://www.youtube.com/channel/UCoLpIZKH2Nxq4SB6aSgZKyw,0,,,0.5983
23,UgzzATM29Gwo8CMkkvd4AaABAg,0.0,0,2018-09-14 23:23:20,Indian Jay hind,"Newt Scamander always looks insane 😵😵 person throughout movie, slowest movie, only pleasant thing was Johnny🤩🤩 Depp....",UCRK_lHvqZ5qvI1mN83HatcA,http://www.youtube.com/channel/UCRK_lHvqZ5qvI1mN83HatcA,0,,,0.1531
24,Ugz4UKsLJ9wf0uHwEgB4AaABAg,0.0,0,2018-09-04 14:43:13,Jolene Khor,"Hi Warner Bros. Pictures, Im a student studying Applied Music from a university in Taiwan. Im here to ask permission for using this trailer to rewrite the background music it. I would also like to post the video on my channel and I will credit your company&#39;s name as well if that is possible.<br />Hope you reply soon. Thank you!",UCBCNMkZQxefFu3_wY-iwSZQ,http://www.youtube.com/channel/UCBCNMkZQxefFu3_wY-iwSZQ,0,,,0.8398
25,Ugy1Md3cjMHILbKBJSx4AaABAg,0.0,0,2018-09-01 13:48:17,Damian Geisler,Geilllll,UCTm-qqW6x5rin2g0fsDnPqw,http://www.youtube.com/channel/UCTm-qqW6x5rin2g0fsDnPqw,0,,,0.0
